Disease,Symptoms
Sinusitis,watery eyes;isolation;nasal congestion;tooth pain;cough;bad breath;nausea;fever;facial flushing;cheek tenderness;burning after eating;facial pain;forehead pain
Dengue,chills;easy bruising;nausea;joint pain;mood changes
Bronchitis,sinus pressure;chills;shortness of breath;throat irritation;difficulty concentrating
Diabetes,loss of interest;blurred vision;nausea;frequent urination;irritability;hunger;headache;dark skin patches
Tuberculosis,productive cough;chest pain;shortness of breath;rapid heartbeat;tooth pain;headache;weakness
Tuberculosis,fever;weakness;back pain;pale skin;pressure in bladder;slowed thinking;swollen glands
Sinusitis,throbbing head pain;fast heartbeat;bone pain;facial pain;hoarseness;cheek tenderness;postnasal drip
Hypertension,nausea;gastric discomfort;lightheadedness;buzzing in ears;vision changes;throbbing head pain
Diabetes,visual disturbances;tingling feet;dark skin patches;blurred thinking;dry mouth
Gastritis,upper stomach pain;bloating;loss of taste;back pain;anxiety;fatigue;headache;belching;flatulence;abdominal pain;sour taste
Malaria,silent chest;chills;night sweats;fatigue;severe headache;fever;confusion;dark urine
Urinary Tract Infection (UTI),dry cough;pelvic pain;incomplete emptying;nausea;tingling hands;cloudy urine;frequent urination;pain during intercourse;dark urine
Tuberculosis,shortness of breath;increased thirst;joint pain;nausea;chest pain;burning urination;back pain;facial pain
Urinary Tract Infection (UTI),lower abdominal pain;pain during intercourse;dark urine;dizziness;cheek tenderness;vomiting;blood in urine;urine leakage;burning urination;lower back pain
Gastritis,gastric discomfort;upper stomach pain;burning after eating;throbbing head pain;hiccups;indigestion;nausea;belching
Tuberculosis,prolonged cough;social withdrawal;productive cough;sore throat;fatigue;nausea;persistent cough;fever
Asthma,nasal congestion;frequent urination;mucus production;hiccups;silent chest;chest tightness;swollen glands;trouble sleeping;chest discomfort;tight throat;persistent cough
Sinusitis,fast heartbeat;nasal congestion;blurred thinking;fever;sinus pressure;headache;forehead pain
Bronchitis,throat irritation;frequent urination;eye pain;chest discomfort;temperature fluctuations;difficulty sleeping;wheezing;headache;sinus pressure;body aches
Depression,abdominal pain;fatigue;persistent sadness;lack of motivation;facial pain;suicidal thoughts;weight changes;loss of interest
Migraine,vomiting;scalp tenderness;confusion;blurred vision;visual disturbances;tight throat;aura;sensitivity to light;nausea
Anemia,pale gums;hair thinning;craving ice;fatigue;anxiety;irritability
Malaria,confusion;triggered by cold air;anemia;headache;nausea;jaundice;sweating;loss of appetite;back pain;abdominal pain
Malaria,headache;low blood pressure;nausea;confusion;anemia;body aches;loss of smell;loss of interest;nosebleed
Hypertension,blood in urine;headache;buzzing in ears;blurred vision;nausea;dizziness;chest pain;urgent bowel movements;sweating;palpitations
Gastroenteritis,abdominal cramps;muscle aches;fatigue;urgent bowel movements;difficulty sleeping;gas;pulsating pain
Asthma,shortness of breath;fatigue;nausea;eye pain;chest tightness;silent chest;frequent respiratory infections
Asthma,persistent cough;difficulty exhaling;throbbing head pain;restlessness;wheezing;pale lips;tight throat;bloating;headache;confusion (elderly);breathlessness;nasal congestion
Depression,sleep disturbances;mild fever;lack of motivation;restlessness;chronic pain;difficulty concentrating;fatigue;dizziness;suicidal thoughts;hopelessness
Malaria,headache;dizziness;confusion;vomiting;shivering;rapid heartbeat;frequent urination;sweating;stomach rumbling
Diabetes,frequent infections;dry mouth;fatigue;unintended weight loss;skin infections;fever;dark skin patches;blurred vision;hunger;tight chest
Depression,persistent sadness;social withdrawal;sleep disturbances;weight changes;muscle aches;tearfulness;fatigue
Gastroenteritis,diarrhea;vomiting;fatigue;loss of appetite;throbbing head pain;pale lips;urgent bowel movements;suicidal thoughts
Gastroenteritis,fever;fatigue;mild fever;stomach rumbling;nausea;dry mouth;dehydration;diarrhea;gas;persistent cough
Sinusitis,nasal congestion;fatigue;facial swelling;forehead pain;headache;body aches;loss of smell;coughing at night;runny nose;suicidal thoughts
Anemia,irritability;sweating;chest pain;fever;brittle nails;shortness of breath;weakness;tight chest;headache;craving ice;numbness
Diabetes,dizziness;hunger;pale skin;dehydration;blurred thinking;numbness;frequent infections;vision changes;sweet-smelling breath
Hypertension,insomnia;restlessness;facial flushing;fatigue;triggered by cold air;weight changes;buzzing in ears;headache
Urinary Tract Infection (UTI),diarrhea;fatigue;pelvic pain;blood in urine;chills;fever;nausea;urine urgency;confusion (elderly)
Migraine,trouble sleeping;nausea;fatigue;craving ice;irritability;dizziness;sensitivity to sound;eye pain;one-sided headache;visual disturbances;neck pain
Hypertension,swelling in feet;confusion;irregular heartbeat;anxiety;dizziness;blurred vision;indigestion
Migraine,irritability;pulsating pain;one-sided headache;aura;muscle aches;chest pain;sensitivity to smell;dizziness;severe headache
Asthma,chest discomfort;frequent respiratory infections;fatigue;swelling in feet;trouble sleeping;persistent cough;blue fingernails;restlessness;anxiety
Urinary Tract Infection (UTI),prolonged high fever;low energy;fever;muscle pain;dark urine;pain during intercourse;frequent urination
Migraine,rash;fever;sensitivity to light;headache;sensitivity to sound;scalp tenderness;speech difficulty;nausea;blurred vision;dizziness;lower abdominal pain;sensitivity to smell
Urinary Tract Infection (UTI),dark urine;nausea;confusion (elderly);fatigue;thick nasal discharge;blood in urine;strong-smelling urine;cloudy urine;indigestion;pain during intercourse;swelling in feet;burning urination
Tuberculosis,rapid heartbeat;dizziness;shoulder pain;facial swelling;weight changes;swollen glands;shortness of breath;pale skin;crackles in lungs;fatigue;frequent infections;prolonged cough
Tuberculosis,fatigue;swollen glands;fever;prolonged cough;bitter mouth;pale skin;back pain;nausea;chest pain;persistent cough
Anemia,forehead pain;weakness;cold hands;poor concentration;high blood pressure;pale skin;chest pain
Tuberculosis,brittle nails;rapid heartbeat;joint pain;crackles in lungs;persistent cough;coughing blood;productive cough;loss of appetite;prolonged cough
Gastritis,fullness;indigestion;aura;loss of appetite;black stool;upper stomach pain;sour taste;gastric discomfort;burning after eating
Bronchitis,silent chest;chest discomfort;difficulty sleeping;runny nose;nasal congestion;fever;production of mucus;shortness of breath;rapid breathing
Malaria,fatigue;thick nasal discharge;rapid heartbeat;isolation;vomiting;headache;anemia
Migraine,nausea;dizziness;dry cough;sensitivity to smell;irritability;sensitivity to light
Asthma,frequent respiratory infections;headache;nausea;trouble sleeping;blue fingernails;tight throat;lower abdominal pain
